stop_code,stop_id,parent_station,preferred,stop_lat,stop_timezone,stop_name,stop_url,wheelchair_boarding,stop_desc,location_type,stop_lon,zone_id
94226,94226,,2,43.917041,,Brookhouse Northbound @ Ravey,,1,,0,-78.580493,
94227,94227,,2,43.919042,,King Westbound @ Arthur,,1,,0,-78.582741,
94229,94229,,2,43.903226,,Baseline Westbound @ Mearns,,1,,0,-78.666988,
94230,94230,,2,43.903224,,Baseline Eastbound @ Mearns,,1,,0,-78.666437,
94231,94231,,2,43.901265,,Baseline Eastbound @ Liberty,,1,,0,-78.675124,
94232,94232,,2,43.897822,,Audley Recreation Centre,,1,,0,-79.008041,
94233,94233,,2,43.800447,,Morningside Southbound @ Milner,,1,,0,-79.19938,
94234,94234,,2,43.79567,,Milner Westbound @ Neilson,,1,,0,-79.21631600435,
94235,94235,,2,43.79112700000001,,Milner Westbound @ Dailing,,1,,0,-79.23035,
94236,94236,,2,43.795607,,Milner Eastbound @ Neilson,,1,,0,-79.215841,
94237,94237,,2,43.800134,,Milner Eastbound @ Morningside,,1,,0,-79.199407,
94238,94238,,2,43.873245,,Thickson Northbound @ Stellar,,1,,0,-78.906742,
94241,94241,,1,43.917215,,Mill Southbound @ King,,1,,0,-78.588771,
94245,94245,,2,43.82657,,Strouds Westbound @ Rosebank,,1,,0,-79.12952,
94247,94247,,2,43.941682,,Conlin Eastbound @ Garrard,,1,,0,-78.925171,
94248,94248,,2,43.941728,,Conlin Westbound @ Garrard,,1,,0,-78.925415,
94249,94249,,1,43.9565,,Harmony Northbound @ Conlin,,1,,0,-78.856854,
94250,94250,,1,43.956196,,Harmony Southbound @ Conlin,,1,,0,-78.857071,
94251,94251,,2,43.82038,,Woodview Southbound @ Waterford,,1,,0,-79.14524,
94254,94254,,1,43.829124,,Westney Westbound @ Finley,,1,,0,-79.025151,
94255,94255,,2,43.830815,,Westney Westbound @ Monarch,,1,,0,-79.017295,
94258,94258,,2,43.83091289550353,,Dreyer Westbound @ Graham,,1,,0,-79.00315691905827,
94260,94260,,2,43.83038,,Range Line Eastbound @ Maple,,1,,0,-78.992901,
94261,94261,,2,43.9403379877024,,Taunton Eastbound @ 942 Taunton,,1,,0,-78.84551009099447,
94262,94262,,2,43.94069561,,Taunton Westbound @ 981 Taunton,,1,,0,-78.84512280689917,
94263,94263,,2,43.843818,,Bayly Eastbound @ Harwood,,1,,0,-79.018779,
94264,94264,,2,43.941505,,Taunton Eastbound @ Grandview,,1,,0,-78.839898,
94265,94265,,2,43.941894,,Taunton Westbound @ Grandview,,1,,0,-78.839279,
94266,94266,,2,43.943927,,Taunton Westbound @ Townline,,1,,0,-78.830505,
94267,94267,,2,43.944773,,Townline Northbound @ Taunton,,1,,0,-78.830057,
94268,94268,,2,43.957312,,Townline Northbound @ Woodstream,,1,,0,-78.835685,
94270,94270,,2,44.11026,,Nelkydd Northbound @ Planks,,1,,0,-79.11048,
94273,94273,,2,43.77474773123638,,Bushby Westbound @ McCowan,,1,,0,-79.2519258973932,
94274,94274,,2,43.88402578,,Des Newman Northbound @ Bertram,,1,,0,-78.98122256,
94275,94275,,2,43.88125,,Des Newman Southbound @ Bonacord,,1,,0,-78.9794,
94276,94276,,2,43.96380036921115,,Windfields Farm Eastbound @ Steeplechase,,1,,0,-78.90042774106978,
94277,94277,,2,43.96528150752407,,Windfields Farm Eastbound @ Bridle,,1,,0,-78.89408279340002,
94278,94278,,2,43.96413464002297,,Windfields Farm Westbound @ Steeplechase,,1,,0,-78.8999691001511,
94279,94279,,2,43.88144311,,Cochrane Southbound @ Walnut,,1,,0,-78.95355749,
94280,94280,,2,43.88776596000001,,Cochrane Southbound @ Bonacord,,1,,0,-78.95636797,
94281,94281,,2,43.88529,,Des Newman Southbound @ Bertram,,1,,0,-78.982,
94282,94282,,2,43.82013112,,Lake Driveway Southbound @ Parkes,,1,,0,-79.03083625,
94283,94283,,2,43.82006930615894,,Finley Northbound @ Lake Driveway,,1,,0,-79.02036100759061,
94284,94284,,2,43.82226219479359,,Finley Northbound @ Panter,,1,,0,-79.02428467113646,
94285,94285,,2,43.82591917,,Finley Northbound @ Bashford,,1,,0,-79.0260696,
94288,94288,,2,43.84321295,,Finch Westbound @ Dixie,,1,,0,-79.1054951,
94289,94289,,2,43.84223144,,Monarch Northbound @ Bayly,,1,,0,-79.02475559,
94290,94290,,2,43.83037498812975,,Pickering Beach southbound @ Dreyer,,1,,0,-79.0018050857262,
94291,94291,,2,43.82615108,,Finley Southbound @ Bashford,,1,,0,-79.02614314,
94292,94292,,2,43.82344489,,Finley Southbound @ Parkes,,1,,0,-79.02610127,
94293,94293,,2,43.82901300000001,,Westney Eastbound @ Finley,,1,,0,-79.02480025,
94296,94296,,2,43.82025856425799,,Lake Driveway Northbound @ Parkes,,1,,0,-79.03077268725127,
94297,94297,,2,43.8289,,Lake Driveway Eastbound @ Walker,,1,,0,-79.032247,
94299,94299,,2,43.8979389485016,,Bowmanville Southbound @ Baseline,,1,,0,-78.6911738941678,
94301,94301,,2,43.8857924166106,,Northbound @ 1461 Harwood (Grandview Kids Health Centre),,1,,0,-79.0357858164005,
94302,94302,,2,43.8854916869003,,Southbound  @ 1461 Harwood (Grandview Kids Health Cenntre),,1,,0,-79.0354632856262,
94304,94304,,2,43.9242315,,Thickson Northbound @ Gateway,,1,,0,-78.9285625,
94305,94305,,2,43.9246256,,Thickson Southbound @ Summerside,,1,,0,-78.9290882,
94306,94306,,2,43.9285861,,Thickson Northbound @ Glengowan,,1,,0,-78.9305623,
94308,94308,,1,44.26273,,Albert Northbound @ River,,1,,0,-79.06621,
94309,94309,,1,44.26296,,River Westbound @ Albert,,1,,0,-79.06609,
94310,94310,,1,44.35035,,Cameron Westbound @ Laidlaw,,1,,0,-79.03832,
94311,94311,,1,44.35006,,Cameron Eastbound @ Laidlaw,,1,,0,-79.03894,
94312,94312,,1,44.42996,,Simcoe Westbound @ Mara,,1,,0,-79.15575,
94313,94313,,1,44.4298,,Simcoe Eastbound @ Mara,,1,,0,-79.15559,
94315,94315,,2,44.42707,,Northbound @ 75 9 Mile Road,,1,,0,-79.16426,
94316,94316,,1,44.42713,,Southbound @ 30 Beaver,,1,,0,-79.12571,
94328,94328,,2,44.25922,,Albert Northbound @ Rennie,,1,,0,-79.06614,
94329,94329,,2,44.25953,,Albert Southbound @ Rennie,,1,,0,-79.06633,
94330,94330,,1,44.4332,,Main Westbound @ Franklin,,1,,0,-79.14865,
94331,94331,,2,44.43335,,Franklin Eastbound @ Main,,1,,0,-79.14916,
94334,94334,,2,44.3089,,Simcoe Northbound @ Highway 7,,1,,0,-78.98922,
94335,94335,,2,44.30882,,Simcoe Southbound @ Highway 7,,1,,0,-78.98933,
94336,94336,,2,44.35117000000001,,Cameron Westbound @ Trootie,,1,,0,-79.03461,
94337,94337,,2,44.35104,,Cameron Eastbound @ Trootie,,1,,0,-79.03481,
94338,94338,,2,44.43565000000001,,Franklin Northbound @ Mara,,1,,0,-79.15053,
94339,94339,,2,44.43551,,Mara Eastbound @  Franklin,,1,,0,-79.15076,
94340,94340,,2,44.34927,,Cameron Eastbound @ Queen,,1,,0,-79.04251,
94341,94341,,2,44.34931000000001,,Cameron Westbound @ Queen,,1,,0,-79.04296,
94342,94342,,2,44.3439,,Cameron Eastbound @ Brock HS,,1,,0,-79.06613,
94343,94343,,2,44.34366,,Cameron Westbound @ Brock HS,,1,,0,-79.06734,
94344,94344,,2,44.43201,,Mara Northbound @ King,,1,,0,-79.15399,
94345,94345,,2,44.43233,,Mara Southbound @ King,,1,,0,-79.15392,
94346,94346,,2,44.42899,,Main Westbound @ Lakeview Manor,,1,,0,-79.16386,
94347,94347,,2,44.42892,,Main Eastbound @ Lakeview Manor,,1,,0,-79.16386,
94348,94348,,2,44.42861,,Simcoe Westbound @ York,,1,,0,-79.15036,
94349,94349,,2,44.42859,,Simcoe Eastbound @ York,,1,,0,-79.15082,
94350,94350,,2,44.42763,,Simcoe Westbound @ Madill,,1,,0,-79.14664,
94351,94351,,2,44.42746000000001,,Simcoe Eastbound @ Madill,,1,,0,-79.14645,
94353,94353,,2,43.8749291974787,,Salem Northbound @ Blowers,,1,,0,-79.01561031263677,
94354,94354,,2,43.875426,,Salem Southbound @ Blowers,,1,,0,-79.016089,
94398,94398,,2,43.87091,,Stevenson Southbound at GM Gate 12,,1,,0,-78.87348,
944,944,,2,43.88983507,,Stevenson Northbound @ Cartier (North side stop),,1,,0,-78.881804,
9473,9473,,2,43.7866837,,Ellesmere Westbound @ Military Trail,,1,,0,-79.188152,
952,952,,2,43.90700600000001,,Stevenson Southbound @ Marion,,1,,0,-78.889543,
953,953,,2,43.893374,,Stevenson Southbound @ King,,1,,0,-78.883644,
955,955,,2,43.89017014,,Southbound @ 104 Stevenson,,1,,0,-78.882155,
958,958,,2,43.8854908,,Stevenson Southbound @ Gibb,,1,,0,-78.880117,
959,959,,1,43.88086100000001,,Stevenson Southbound @ Laval,,1,,0,-78.877979,
