X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
673641.251,4866923.7225,1444,644,Grandview Northbound @ Summitview (North stop),,1,0, , , ,-78.83658,43.934956,644,Scheduled
673555.7483,4867167.5588,1445,645,Grandview Northbound @ Ridgemount,,1,0, , , ,-78.837565,43.93717,645,Scheduled
673468.8421,4867416.1385,1446,646,Grandview Northbound @ Glenbourne,,1,0, , , ,-78.838566,43.939427,646,Scheduled
673411.5234,4867583.9127,1447,647,Grandview Northbound @ Taunton,,1,1, , , ,-78.839225,43.94095,647,Scheduled
673316.8347,4867884.751,1448,648,Grandview Northbound @ Park Ridge,,1,0, , , ,-78.840306,43.943679,648,Scheduled
673214.132,4868180.0347,1449,649,Grandview Northbound @ Appleby,,1,0, , , ,-78.841488,43.9463599,649,Scheduled
670913.6567,4864612.8112,1450,650,Simcoe Southbound @ Rossland,,1,1, , , ,-78.871282,43.914802,650,Scheduled
671070.9885,4864132.5889,1451,652,Simcoe Southbound @ Buckingham,,1,0, , , ,-78.869478,43.9104447,652,Scheduled
671255.1228,4863592.3286,1452,654,Simcoe Southbound @ Parkwood (Lakeridge Health Oshawa),,1,1, , , ,-78.86736,43.905541,654,Scheduled
671358.0564,4863312.5706,1453,655,Simcoe Southbound @ Adelaide,,1,0, , , ,-78.866169,43.903,655,Scheduled
671282.0148,4862980.4004,1454,657,Centre Southbound @ William,,1,0, , , ,-78.867222,43.900029,657,Scheduled
671391.4139,4862677.8053,1455,659,Centre Southbound @ King,,1,1, , , ,-78.865958,43.897281,659,Scheduled
671570.9676,4862232.984,1456,661,Centre Southbound @ John,,1,1, , , ,-78.863867,43.893237,661,Scheduled
671677.3714,4861938.3175,1457,663,Centre Southbound @ Gibb,,1,0, , , ,-78.862638,43.890561,663,Scheduled
671953.8382,4861660.394,1458,664,Simcoe Southbound @ Royal,,1,0, , , ,-78.859288,43.887996,664,Scheduled
672049.1842,4861390.1196,1459,665,Simcoe Southbound @ Mill,,1,0, , , ,-78.858189,43.885542,665,Scheduled
672119.1872,4861192.2101,1460,666,Simcoe Southbound @ First,,1,0, , , ,-78.857382,43.883745,666,Scheduled
